invoice_id,customer_id,invoice_date,due_date,amount,status_id
INV-2024-000001,C-01000,2024-02-02,2024-03-03,8087.55,3
INV-2024-000002,C-01000,2024-09-25,2024-10-25,7578.30,3
INV-2024-000003,C-01000,2024-11-08,2024-12-08,8656.58,3
INV-2025-000004,C-01000,2025-03-27,2025-04-26,8981.53,3
INV-2025-000005,C-01000,2025-10-24,2025-11-23,5596.77,3
INV-2026-000006,C-01000,2026-01-13,2026-02-12,5361.69,3
INV-2024-000007,C-01001,2024-06-04,2024-07-04,7370.28,3
INV-2024-000008,C-01001,2024-12-24,2025-01-23,6187.39,3
INV-2025-000009,C-01001,2025-04-25,2025-05-25,6834.21,3
INV-2025-000010,C-01001,2025-12-18,2026-01-17,7670.08,3
INV-2024-000011,C-01002,2024-01-05,2024-02-04,1445.98,3
INV-2024-000012,C-01002,2024-02-05,2024-03-06,1716.59,3
INV-2024-000013,C-01002,2024-03-22,2024-04-21,1047.98,3
INV-2024-000014,C-01002,2024-04-22,2024-05-22,1991.88,3
INV-2024-000015,C-01002,2024-05-27,2024-06-26,1194.63,3
INV-2024-000016,C-01002,2024-06-17,2024-07-17,3289.20,3
INV-2024-000017,C-01002,2024-07-26,2024-08-25,100.00,3
INV-2024-000018,C-01002,2024-08-05,2024-09-04,1866.10,3
INV-2024-000019,C-01002,2024-09-19,2024-10-19,1940.35,3
INV-2024-000020,C-01002,2024-10-11,2024-11-10,2624.14,3
INV-2024-000021,C-01002,2024-11-06,2024-12-06,2450.69,3
INV-2024-000022,C-01002,2024-12-24,2025-01-23,3968.18,3
INV-2025-000023,C-01002,2025-01-23,2025-02-22,4908.68,3
INV-2025-000024,C-01002,2025-02-14,2025-03-16,100.00,3
INV-2025-000025,C-01002,2025-03-07,2025-04-06,4630.09,3
INV-2025-000026,C-01002,2025-04-04,2025-05-04,2510.88,3
INV-2025-000027,C-01002,2025-05-02,2025-06-01,2842.04,3
INV-2025-000028,C-01002,2025-06-13,2025-07-13,3047.95,3
INV-2025-000029,C-01002,2025-07-09,2025-08-08,287.41,3
INV-2025-000030,C-01002,2025-08-06,2025-09-05,1950.62,3
INV-2025-000031,C-01002,2025-09-12,2025-10-12,2574.90,3
INV-2025-000032,C-01002,2025-10-06,2025-11-05,1826.16,3
INV-2025-000033,C-01002,2025-11-10,2025-12-10,3023.12,3
INV-2025-000034,C-01002,2025-12-15,2026-01-14,2557.45,3
INV-2026-000035,C-01002,2026-01-09,2026-02-08,3026.35,3
INV-2026-000036,C-01002,2026-02-11,2026-03-13,2269.61,3
INV-2026-000037,C-01002,2026-03-12,2026-04-11,1307.97,3
INV-2026-000038,C-01002,2026-04-15,2026-05-15,719.40,1
INV-2024-000039,C-01003,2024-01-05,2024-02-04,629.82,3
INV-2024-000040,C-01003,2024-03-06,2024-04-05,100.00,3
INV-2024-000041,C-01003,2024-04-12,2024-05-12,591.12,3
INV-2024-000042,C-01003,2024-05-02,2024-06-01,2675.23,3
INV-2024-000043,C-01003,2024-06-21,2024-07-21,2889.12,3
INV-2024-000044,C-01003,2024-07-26,2024-08-25,2222.66,3
INV-2024-000045,C-01003,2024-08-23,2024-09-22,3372.88,3
INV-2024-000046,C-01003,2024-10-31,2024-11-30,1754.87,3
INV-2024-000047,C-01003,2024-11-29,2024-12-29,3660.78,3
