payment_id,invoice_id,payment_date,amount,payment_source
PAY-0018550,INV-2025-018884,2026-03-16,6904.66,ACH
PAY-0005682,INV-2026-005764,2026-04-24,12529.07,Wire
PAY-0017967,INV-2024-018288,2024-08-21,12081.97,ACH
PAY-0008639,INV-2025-008796,2025-09-29,5476.11,ACH
PAY-0007092,INV-2024-007208,2024-05-02,4886.42,ACH
PAY-0007700,INV-2026-007839,2026-03-13,3229.05,ACH
PAY-0007562,INV-2025-007697,2025-10-31,6392.22,ACH
PAY-0019647,INV-2025-019996,2025-08-27,3386.17,ACH
PAY-0019308,INV-2024-019652,2024-06-24,9145.35,ACH
PAY-0003947,INV-2026-004004,2026-03-24,9997.96,ACH
PAY-0008586,INV-2024-008741,2025-01-17,4429.87,Wire
PAY-0011468,INV-2025-011672,2025-07-25,4512.45,ACH
PAY-0003541,INV-2025-003585,2025-10-14,3299.70,ACH
PAY-0009323,INV-2024-009498,2025-01-01,16948.32,Card
PAY-0019213,INV-2025-019554,2025-07-28,16259.88,ACH
PAY-0011441,INV-2025-011645,2025-05-30,1312.12,ACH
PAY-0018292,INV-2026-018621,2026-03-25,5850.80,ACH
PAY-0018895,INV-2025-019233,2025-06-03,6937.63,Check
PAY-0013033,INV-2025-013266,2025-10-31,9680.28,Check
PAY-0005018,INV-2026-005090,2026-02-25,2755.95,ACH
PAY-0013078,INV-2026-013313,2026-04-06,7788.92,ACH
PAY-0019216,INV-2025-019557,2026-03-25,11290.96,ACH
PAY-0006628,INV-2024-006731,2025-01-06,1046.05,ACH
PAY-0010135,INV-2024-010319,2025-02-07,2184.83,ACH
PAY-0005196,INV-2026-005271,2026-03-16,4655.24,Wire
PAY-0002577,INV-2025-002607,2025-12-26,13182.02,ACH
PAY-0000294,INV-2025-000300,2025-11-12,6822.28,ACH
PAY-0004370,INV-2024-004434,2024-04-29,12876.81,Check
PAY-0019013,INV-2024-019353,2025-02-19,15183.04,Check
PAY-0010238,INV-2025-010423,2025-10-14,9693.98,ACH
PAY-0007307,INV-2024-007429,2024-05-03,14194.69,Card
PAY-0006516,INV-2024-006619,2024-10-31,1454.91,Wire
PAY-0010920,INV-2024-011118,2024-10-07,3946.64,Check
PAY-0013948,INV-2024-014200,2024-09-04,11114.21,ACH
PAY-0011985,INV-2024-012197,2024-12-06,3944.51,Check
PAY-0007647,INV-2024-007784,2024-04-04,12053.14,ACH
PAY-0004244,INV-2024-004307,2024-12-13,3611.76,Check
PAY-0000205,INV-2025-000209,2026-02-20,11746.85,Check
PAY-0014768,INV-2025-015035,2026-02-06,8179.55,ACH
PAY-0008602,INV-2024-008757,2024-12-16,9781.19,ACH
PAY-0014937,INV-2025-015208,2025-07-18,2246.68,Check
PAY-0018545,INV-2025-018879,2025-08-22,4823.38,ACH
PAY-0003642,INV-2025-003689,2026-03-13,932.98,ACH
PAY-0009053,INV-2026-009218,2026-03-24,7337.44,ACH
PAY-0008343,INV-2024-008495,2025-03-26,2478.68,ACH
PAY-0003629,INV-2024-003673,2024-11-26,3101.34,ACH
PAY-0004164,INV-2024-004226,2025-01-14,3116.59,ACH
PAY-0018075,INV-2025-018400,2025-10-03,4116.95,Check
PAY-0004252,INV-2025-004315,2025-09-12,2300.99,ACH
PAY-0011656,INV-2025-011861,2025-05-16,5026.80,ACH
PAY-0019372,INV-2025-019717,2025-07-16,4780.75,ACH
PAY-0018890,INV-2024-019228,2024-10-25,3772.43,Card
PAY-0009761,INV-2025-009942,2025-09-10,100.00,Check
PAY-0007842,INV-2024-007987,2025-03-07,2356.08,Check
PAY-0003632,INV-2024-003676,2025-02-14,3460.37,ACH
PAY-0016980,INV-2025-017285,2025-05-21,8844.90,Check
PAY-0011444,INV-2025-011648,2025-08-26,1695.77,Card
PAY-0016269,INV-2024-016559,2024-11-13,4492.04,ACH
PAY-0018214,INV-2024-018541,2024-11-29,249.54,Wire
PAY-0016121,INV-2025-016411,2026-01-15,5976.77,ACH
PAY-0014306,INV-2024-014565,2024-05-01,2120.79,Check
PAY-0012753,INV-2024-012980,2024-10-02,2226.29,ACH
PAY-0001716,INV-2024-001739,2024-12-20,5022.63,Card
PAY-0016078,INV-2025-016368,2026-02-27,3355.15,ACH
PAY-0009326,INV-2025-009501,2025-12-17,16893.78,ACH
PAY-0014766,INV-2025-015033,2025-09-19,5609.64,ACH
PAY-0009757,INV-2024-009938,2025-04-14,4440.71,ACH
PAY-0017376,INV-2025-017687,2025-06-23,5374.17,ACH
PAY-0009630,INV-2024-009809,2024-10-29,17069.99,Check
PAY-0009945,INV-2025-010128,2025-11-12,6566.65,ACH
PAY-0008638,INV-2025-008794,2025-07-28,5330.18,Check
PAY-0016077,INV-2025-016367,2025-07-09,100.00,ACH
PAY-0000585,INV-2025-000597,2025-10-22,5103.49,ACH
PAY-0008345,INV-2025-008497,2025-05-12,1878.01,Check
PAY-0011821,INV-2024-012030,2025-04-11,11476.82,Check
PAY-0000291,INV-2025-000297,2025-07-08,320.00,ACH
PAY-0019208,INV-2024-019549,2024-05-14,20789.58,ACH
PAY-0011099,INV-2025-011300,2026-03-06,4424.63,Check
PAY-0012045,INV-2026-012257,2026-03-20,2184.93,ACH
PAY-0013874,INV-2025-014121,2025-10-17,3896.73,Check
PAY-0019012,INV-2024-019352,2024-11-13,11861.60,ACH
PAY-0006472,INV-2024-006574,2024-07-05,2241.50,ACH
